Match_no,Match_Between,Team_Innings,Batsman_Name,Batting_Position,Dismissal,Runs,Balls,4s,6s,Strike_Rate
43,Bangladesh vs Australia,Australia,David Warner,2,c Najmul Hossain Shanto b Mustafizur Rahman,53,61,6,0,86.885
43,Bangladesh vs Australia,Australia,Mitchell Marsh,3,not out,177,132,17,9,134.091
43,Bangladesh vs Australia,Australia,Steve Smith,4,not out,63,64,4,1,98.438
44,England vs Pakistan,England,Dawid Malan,1,c Mohammad Rizwan b Iftikhar Ahmed,31,39,5,0,79.487
44,England vs Pakistan,England,Jonny Bairstow,2,c Agha Salman b Haris Rauf,59,61,7,1,96.721
44,England vs Pakistan,England,Joe Root,3,c Shadab Khan b Shaheen Afridi,60,72,4,0,83.333
44,England vs Pakistan,England,Ben Stokes,4,b Shaheen Afridi,84,76,11,2,110.526
44,England vs Pakistan,England,Jos Buttler,5,run out Haris Rauf,27,18,3,1,150
44,England vs Pakistan,England,Harry Brook,6,c Shaheen Afridi b Haris Rauf,30,17,2,2,176.471
44,England vs Pakistan,England,Moeen Ali,7,b Haris Rauf,8,6,0,1,133.333
44,England vs Pakistan,England,Chris Woakes,8,not out,4,4,1,0,100
44,England vs Pakistan,England,David Willey,9,c Iftikhar Ahmed b Mohammad Wasim Jr,15,5,2,1,300
44,England vs Pakistan,England,Gus Atkinson,10,b Mohammad Wasim Jr,0,1,0,0,0
44,England vs Pakistan,England,Adil Rashid,11,not out,0,1,0,0,0
44,England vs Pakistan,Pakistan,Abdullah Shafique,1,lbw b David Willey,0,2,0,0,0
44,England vs Pakistan,Pakistan,Fakhar Zaman,2,c Ben Stokes b David Willey,1,9,0,0,11.111
44,England vs Pakistan,Pakistan,Babar Azam,3,c Adil Rashid b Gus Atkinson,38,45,6,0,84.444
44,England vs Pakistan,Pakistan,Mohammad Rizwan,4,b Moeen Ali,36,51,2,0,70.588
44,England vs Pakistan,Pakistan,Saud Shakeel,5,b Adil Rashid,29,37,4,0,78.378
44,England vs Pakistan,Pakistan,Agha Salman,6,c Ben Stokes b David Willey,51,45,6,1,113.333
44,England vs Pakistan,Pakistan,Iftikhar Ahmed,7,c Dawid Malan b Moeen Ali,3,5,0,0,60
44,England vs Pakistan,Pakistan,Shadab Khan,8,b Adil Rashid,4,7,1,0,57.143
44,England vs Pakistan,Pakistan,Shaheen Afridi,9,lbw b Gus Atkinson,25,23,3,1,108.696
44,England vs Pakistan,Pakistan,Mohammad Wasim Jr,10,not out,16,14,2,1,114.286
44,England vs Pakistan,Pakistan,Haris Rauf,11,c Ben Stokes b Chris Woakes,35,23,3,3,152.174
45,India vs Netherlands,India,Rohit Sharma,1,c Wesley Barresi b Bas de Leede,61,54,8,2,112.963
45,India vs Netherlands,India,Shubman Gill,2,c Teja Nidamanuru b Paul van Meekeren,51,32,3,4,159.375
45,India vs Netherlands,India,Virat Kohli,3,b Roelof van der Merwe,51,56,5,1,91.071
45,India vs Netherlands,India,Shreyas Iyer,4,not out,128,94,10,5,136.17
45,India vs Netherlands,India,KL Rahul,5,c Sybrand Engelbrecht b Bas de Leede,102,64,11,4,159.375
45,India vs Netherlands,India,Suryakumar Yadav,6,not out,2,1,0,0,200
45,India vs Netherlands,Netherlands,Wesley Barresi,1,c KL Rahul b Mohammed Siraj,4,5,0,0,80
45,India vs Netherlands,Netherlands,Max O'Dowd,2,b Ravindra Jadeja,30,42,3,1,71.429
45,India vs Netherlands,Netherlands,Colin Ackermann,3,lbw b Kuldeep Yadav,35,32,6,0,109.375
45,India vs Netherlands,Netherlands,Sybrand Engelbrecht,4,b Mohammed Siraj,45,80,4,0,56.25
45,India vs Netherlands,Netherlands,Scott Edwards,5,c KL Rahul b Virat Kohli,17,30,1,0,56.667
45,India vs Netherlands,Netherlands,Bas de Leede,6,b Jasprit Bumrah,12,21,1,0,57.143
45,India vs Netherlands,Netherlands,Teja Nidamanuru,7,c Mohammed Shami b Rohit Sharma,54,39,1,6,138.462
45,India vs Netherlands,Netherlands,Logan van Beek,8,b Kuldeep Yadav,16,15,2,0,106.667
45,India vs Netherlands,Netherlands,Roelof van der Merwe,9,c Mohammed Shami b Ravindra Jadeja,16,8,1,2,200
45,India vs Netherlands,Netherlands,Aryan Dutt,10,b Jasprit Bumrah,5,11,0,0,45.455
45,India vs Netherlands,Netherlands,Paul van Meekeren,11,not out,3,4,0,0,75
46,India vs New Zealand,India,Rohit Sharma,1,c Kane Williamson b Tim Southee,47,29,4,4,162.069
46,India vs New Zealand,India,Shubman Gill,2,not out,80,66,8,3,121.212
46,India vs New Zealand,India,Virat Kohli,3,c Devon Conway b Tim Southee,117,113,9,2,103.54
46,India vs New Zealand,India,Shreyas Iyer,4,c Daryl Mitchell b Trent Boult,105,70,4,8,150
46,India vs New Zealand,India,KL Rahul,5,not out,39,20,5,2,195
46,India vs New Zealand,India,Suryakumar Yadav,6,c Glenn Phillips b Tim Southee,1,2,0,0,50
46,India vs New Zealand,New Zealand,Devon Conway,1,c KL Rahul b Mohammed Shami,13,15,3,0,86.667
46,India vs New Zealand,New Zealand,Rachin Ravindra,2,c KL Rahul b Mohammed Shami,13,22,3,0,59.091
46,India vs New Zealand,New Zealand,Kane Williamson,3,c Suryakumar Yadav b Mohammed Shami,69,73,8,1,94.521
46,India vs New Zealand,New Zealand,Daryl Mitchell,4,c Ravindra Jadeja b Mohammed Shami,134,119,9,7,112.605
46,India vs New Zealand,New Zealand,Tom Latham,5,lbw b Mohammed Shami,0,2,0,0,0
46,India vs New Zealand,New Zealand,Glenn Phillips,6,c Ravindra Jadeja b Jasprit Bumrah,41,33,4,2,124.242
46,India vs New Zealand,New Zealand,Mark Chapman,7,c Ravindra Jadeja b Kuldeep Yadav,2,5,0,0,40
46,India vs New Zealand,New Zealand,Mitchell Santner,8,c Rohit Sharma b Mohammed Siraj,9,10,0,0,90
46,India vs New Zealand,New Zealand,Tim Southee,9,c KL Rahul b Mohammed Shami,9,10,1,0,90
46,India vs New Zealand,New Zealand,Trent Boult,10,not out,2,2,0,0,100
46,India vs New Zealand,New Zealand,Lockie Ferguson,11,c KL Rahul b Mohammed Shami,6,3,0,1,200
48,India vs Australia,India,Rohit Sharma,1,c Travis Head b Glenn Maxwell,47,31,4,3,151.613
48,India vs Australia,India,Shubman Gill,2,c Adam Zampa b Mitchell Starc,4,7,0,0,57.143
48,India vs Australia,India,Virat Kohli,3,b Pat Cummins,54,63,4,0,85.714
48,India vs Australia,India,Shreyas Iyer,4,c Josh Inglis b Pat Cummins,4,3,1,0,133.333
48,India vs Australia,India,KL Rahul,5,c Josh Inglis b Mitchell Starc,66,107,1,0,61.682
48,India vs Australia,India,Ravindra Jadeja,6,c Josh Inglis b Josh Hazlewood,9,22,0,0,40.909
48,India vs Australia,India,Suryakumar Yadav,7,c Josh Inglis b Josh Hazlewood,18,28,1,0,64.286
48,India vs Australia,India,Mohammed Shami,8,c Josh Inglis b Mitchell Starc,6,10,1,0,60
48,India vs Australia,India,Jasprit Bumrah,9,lbw b Adam Zampa,1,3,0,0,33.333
48,India vs Australia,India,Kuldeep Yadav,10,run out (Marnus Labuschagne/Pat Cummins),10,18,0,0,55.556
48,India vs Australia,India,Mohammed Siraj,11,not out,9,8,1,0,112.5
48,India vs Australia,Australia,David Warner,1,c Virat Kohli b Mohammed Shami,7,3,1,0,233.333
48,India vs Australia,Australia,Travis Head,2,c Shubman Gill b Mohammed Siraj,137,120,15,4,114.167
48,India vs Australia,Australia,Mitchell Marsh,3,c KL Rahul b Jasprit Bumrah,15,15,1,1,100
48,India vs Australia,Australia,Steve Smith,4,lbw b Jasprit Bumrah,4,9,1,0,44.444
48,India vs Australia,Australia,Marnus Labuschagne,5,not out,58,110,4,0,52.727
48,India vs Australia,Australia,Glenn Maxwell,6,not out,2,1,0,0,200
